"Day 1: STUDY PHASE",,,
,"AA","Skye Campbell",
,"AB","Kelly Huth",
,"AH","Ashley Turner",
,"AI","Jackie Wagner",
,"AP","Sandy Davis",
,"AR","Riley Miller",
,"AV","Dylan Sanders",
,"AM","Ainsley Stewart",
,"AN","Stevie Wilson",
,"R","Billie Dailey",
,"AU","Jean Lambert",
,"A","Kendall McDonald",
,"AE","Lindsay Richmond",
,"AG","Bailey Brewer",
,"DM","Michelle Fox",
,"DN","Colleen Weaver",
,"DO","Ruby Elliot",
,"DP","Louise Welch",
,"DQ","Rachel Fleming",
,"DR","Ellen Watts",
,"DS","Christine Barker",
,"EB","Justin Barnes",
,"EC","Bradley Ross",
,"ED","Grant Perry",
,"EE","Adam Griffen",
,"EF","Max Freeman",
,"EG","Derek Burns",
,"EH","Thomas Hicks",
,"DT","Jenny Fletcher",
,"CM","Amy Brown",
,"CF","Jennifer Smith",
,"CL","Julie Bowman",
,"CG","Lisa Myers",
,"CN","Melissa Evans",
,"CH","Laura Wallace",
,"EI","Ian Black",
,"CA","Steven Banks",
,"BU","James O'Donnell",
,"CB","Brian Hall",
,"BX","David Gibson",
,"CC","Joshua Clement",
,"BZ","Mark Crawford",
,"AQ","Shannon McIntosh",
,"AS","Peyton Butler",
,"AT","Parker Richards",
,"BB","Terry Schofield",
,"BC","Ariel Glover",
,"BE","Avery Murphy",
,"BG","Dominique Gilbert",
,"AF","Joey Collins",
,"AC","Frankie Bender",
,"AJ","Rory Cooper",
,"S","Blake Fuller",
,"BO","Cody Prebble",
,"N","Devon Peterson",
,"T","Tracy Hubbard",
,,,
,,,
"Day 1: TEST PHASE",,,
,"AA","Skye Campbell","old"
,"AB","Kelly Huth","old"
,"AH","Ashley Turner","old"
,"AI","Jackie Wagner","old"
,"AP","Sandy Davis","old"
,"AR","Riley Miller","old"
,"AV","Dylan Sanders","old"
,"AM","Ainsley Stewart","old"
,"AN","Stevie Wilson","old"
,"R","Billie Dailey","old"
,"AU","Jean Lambert","old"
,"A","Kendall McDonald","old"
,"AE","Lindsay Richmond","old"
,"AG","Bailey Brewer","old"
,"DM","Michelle Fox","old"
,"DN","Colleen Weaver","old"
,"DO","Ruby Elliot","old"
,"DP","Louise Welch","old"
,"DQ","Rachel Fleming","old"
,"DR","Ellen Watts","old"
,"DS","Christine Barker","old"
,"EB","Justin Barnes","old"
,"EC","Bradley Ross","old"
,"ED","Grant Perry","old"
,"EE","Adam Griffen","old"
,"EF","Max Freeman","old"
,"EG","Derek Burns","old"
,"EH","Thomas Hicks","old"
,"BD","Gerry Walker","new"
,"BF","Cassidy Thornton","new"
,"BM","Madison Phillips","new"
,"W","Lee Carter","new"
,"BS","Julia Keller","new"
,"BK","Sasha Goldstein","new"
,"BN","Meridith Townsend","new"
,"V","Jessie Foster","new"
,"U","Dakota Edwards","new"
,"BP","Shawn Mitchell","new"
,"J","Jamie Harrison","new"
,"K","Reese Johnson","new"
,"L","Alex Atkins","new"
,"C","Morgan Greenwood","new"
,"G","Quinn Armstrong","new"
,"H","Greg Jennings","new"
,"CO","Emily Boyd","new"
,"CI","Sarah Owens","new"
,"CP","Tiffany Horton","new"
,"CJ","Elizabeth Simpson","new"
,"CQ","Megan Stone","new"
,"CK","Alice Creed","new"
,"CD","Peter Bell","new"
,"BV","William Jenkins","new"
,"CE","Patrick Schwartz","new"
,"BW","Robert Powell","new"
,"CR","Andrew Cohen","new"
,"BY","Paul Marshall","new"
,,,
,,,
"Day 2: TEST PHASE",,,
,"AA","Skye Campbell","old - retest"
,"AB","Kelly Huth","old - retest"
,"AH","Ashley Turner","old - retest"
,"AI","Jackie Wagner","old - retest"
,"AP","Sandy Davis","old - retest"
,"AR","Riley Miller","old - retest"
,"AV","Dylan Sanders","old - retest"
,"AM","Ainsley Stewart","old - retest"
,"AN","Stevie Wilson","old - retest"
,"R","Billie Dailey","old - retest"
,"AU","Jean Lambert","old - retest"
,"A","Kendall McDonald","old - retest"
,"AE","Lindsay Richmond","old - retest"
,"AG","Bailey Brewer","old - retest"
,"DM","Michelle Fox","old - retest"
,"DN","Colleen Weaver","old - retest"
,"DO","Ruby Elliot","old - retest"
,"DP","Louise Welch","old - retest"
,"DQ","Rachel Fleming","old - retest"
,"DR","Ellen Watts","old - retest"
,"DS","Christine Barker","old - retest"
,"EB","Justin Barnes","old - retest"
,"EC","Bradley Ross","old - retest"
,"ED","Grant Perry","old - retest"
,"EE","Adam Griffen","old - retest"
,"EF","Max Freeman","old - retest"
,"EG","Derek Burns","old - retest"
,"EH","Thomas Hicks","old - retest"
,"DT","Jenny Fletcher","old"
,"CM","Amy Brown","old"
,"CF","Jennifer Smith","old"
,"CL","Julie Bowman","old"
,"CG","Lisa Myers","old"
,"CN","Melissa Evans","old"
,"CH","Laura Wallace","old"
,"EI","Ian Black","old"
,"CA","Steven Banks","old"
,"BU","James O'Donnell","old"
,"CB","Brian Hall","old"
,"BX","David Gibson","old"
,"CC","Joshua Clement","old"
,"BZ","Mark Crawford","old"
,"AQ","Shannon McIntosh","old"
,"AS","Peyton Butler","old"
,"AT","Parker Richards","old"
,"BB","Terry Schofield","old"
,"BC","Ariel Glover","old"
,"BE","Avery Murphy","old"
,"BG","Dominique Gilbert","old"
,"AF","Joey Collins","old"
,"AC","Frankie Bender","old"
,"AJ","Rory Cooper","old"
,"S","Blake Fuller","old"
,"BO","Cody Prebble","old"
,"N","Devon Peterson","old"
,"T","Tracy Hubbard","old"
,"DU","Erin Craig","new"
,"EJ","Elyse Dawson","new"
,"CS","Emma Tucker","new"
,"CT","Olivia Wells","new"
,"CU","Sophie Mason","new"
,"CV","Chloe Dixon","new"
,"CW","Hannah Holmes","new"
,"DA","Jacob Moore","new"
,"DB","Ethan White","new"
,"DC","Daniel Garcia","new"
,"DD","Anthony Young","new"
,"DE","Matthew King","new"
,"DF","Jason Baker","new"
,"DG","Kyle Nelson","new"
,"B","Jordan Irwin","new"
,"D","Taylor Hamilton","new"
,"F","Chris Irving","new"
,"Y","Sam Anderson","new"
,"E","Robin Jackson","new"
,"I","Ali Ferguson","new"
,"BT","Charlie Henderson","new"
,"BJ","Jonah Newton","new"
,"BI","Brett Roberts","new"
,"BQ","Aubrey Reynolds","new"
,"M","Logan Greenberg","new"
,"BL","Ricki Jones","new"
,"BR","Bobby Lynch","new"
,"AX","Kerry Lewis","new"
,"CX","Natalie Shaw","new"
,"CY","Andrea Hunt","new"
,"CZ","Cindy Dunn","new"
,"DI","Karen Perkins","new"
,"DJ","Abby Pierce","new"
,"DK","Anna Olsen","new"
,"DL","Kelsey Hart","new"
,"DH","Jeff Cook","new"
,"DV","Noah Reid","new"
,"DW","Liam Howard","new"
,"DX","Caleb Torres","new"
,"DY","Conner Gray","new"
,"DZ","Zach Price","new"
,"EA","Isaac Bennett","new"
,"P","Andy Bourne","new"
,"AO","MacKensie Barnett","new"
,"X","Jay Hughes","new"
,"O","Tyler Clarke","new"
,"AK","Kieran Feldman","new"
,"Z","Pat Dempsey","new"
,"AD","Brooke Wright","new"
,"BA","Adrian Morris","new"
,"BH","Cory Shepard","new"
,"AW","London Martin","new"
,"AY","Eden Baldwin","new"
,"AZ","Kim Thomson","new"
,"Q","Drew Weber","new"
,"AL","Stacey Bridges","new"
